"Name","Description","Image Path"
"Apple","Apples are a common Food that can be eaten either raw, Roasted, or in a Stew. When chopped, one apple produces four apple slices. If the hunger value of these four cores is added together, the apple grants the most hunger satisfaction (slightly under two full bars) of any raw ingredient. It is important to note, that the apple ``must`` be sliced. A full apple does not satisfy as much hunger as four slices, despite the rational assumption that it would.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Apple.png"
"Arrow","Arrows are retrievable ammo for Bows. They can be crafted by combining an Arrow Shaft with an Arrow head and a Feather. Special variants can be commonly found in around the world map. Arrow Heads can be crafted at the Smithy and damage is mostly dependent on metal type. Red Feathers cause the arrows to have more stable flight and potentially more damage compared to Blue Feathers.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Arrow_icon.png"
"Arrow Shaft","An Arrow Shaft is a long, thin stick used in a preparation and crafting of Arrows.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Arrow_Shaft.png"
"Backpack","Backpacks are items that expand a player's carrying capacity.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Constructioncomplete_backpack.png"
"Blacksmith Mould","Blacksmith Moulds are items that can be attached to the Smithy in order to allow players to form Ingots into a desired shape. These moulds are useful for crafting Weapons, Tools and the attachments that go along with them. As of 0.0.21.0, it is impossible to craft Handles or Armor. Therefore, there are no moulds that depict them.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Pickaxe_Mould.png"
"Bone","Bones are resources in A Township Tale.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Bone.png"
"Bowl","A Bowl is a Container with which to hold liquid in.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Bowl.png"
"Bucket","A Bucket is a Container with which to hold liquid in.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Constructioncomplete_bucket.png"
"Cauldron","Cauldrons serve as a Container to be used for Stewing.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Constructioncomplete_cauldron.png"
"Coal","Coal is the longest lasting Fuel in the game.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\CoalOre.png"
"Coin","Coins are golden cylinders with an image on either side.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Coin.png"
"Crystal Shard","Crystal Shards are sharp pieces of crystal from crystal veins.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Crystal_Shard.jpg"
"Dice","Dice (singular: Die) are Items in A Township Tale.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Dice.png"
"Dried Grass","Dried Grass is a Flammable item in the game, and is almost quintessential for the survival of Players when they first join.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Dried_Grass.png"
"Dynamite","Dynamite is a means of Unlocking new areas in the town. It is obtained in Cave Structures in the Mines, and is utilized to destroy large boulders blocking paths around the town.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Dynamite.png"
"Eggplant","Eggplants are a common that can be eaten either raw, Roasted, or in a Stew.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Eggplant.png"
"Feather","Feathers are a resource in A Township Tale.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\feather.png"
"Flint","Flint is a common resource with a black, rough appearance.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Flint.png"
"Geode","Geodes are a resource within A Township Tale.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Geode.png"
"Gourd","Gourds are a type of Item.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Gourd.png"
"Handle","Handles are recipes required to produce Tools and Weapons.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Handle_%28Short%29_Wood%2C_Plain.png"
"Ingot","An Ingot is a common resource. Every ingot is made up of a particular type of Metal.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Ingot.png"
"Fabric Roll","The Fabric Roll is a generic crafting item added in 0.0.45.0, and is used in the creation of many items including, but not limited to Backpacks and Side Pockets.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Assembly_Deck_Rolls.png"
"Ladle","A Ladle is a Container with which to hold liquid.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Ladle.png"
"Lantern","Lanterns are a form of light source and serve as an alternative to Torches and Stakes.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Constructioncomplete_lantern.png"
"Map Board","A Map Board is an object that can be found in many different locations around the Overworld, the most noticeable being one placed on the Respawn Structure.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Map_Board.png"
"0.0.46.0","0.0.46.0 was a pre-Alpha update added to ""A Township Tale"" on November 26th, 2019, and is expected to be the final update for the 2019 calendar year.",""
"Mushroom","Mushrooms are a common source of Food in A Township Tale.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Red_Mushroom.png"
"Page","Pages are an uncommon resource that provide information to a player on how to do various activities. These include Cooking, Archery, Woodcutting, Carpentry and Smelting","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Cooking_Page_Intro.png"
"Quiver","The Quiver is an item that holds arrows for Rangers. The Quiver can only be placed in the far left or far right belt slots, which is to probably to prevent players from hitting sensitive areas during heated battles. Quivers raise the arrows so they are easier to grab. They often spawn as loot in all levels of the mines.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Constructioncomplete_quiver.png"
"Sandstone","Sandstone is a common resource.","C:\Users\Bibhas\Desktop\jobHunt\Alta\Web_scrapper\.\images\Sandstone.png"
"Shield","Shields can be used to directly defend against attacks, instead of relying upon Armour's specific bodily points of defense.",""
